uf;municipio;dia_semana;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo
MG;SALINAS;terça-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Simples;"Reta;Declive";Não
MG;TRES MARIAS;segunda-feira;Pleno dia;Ingestão de álcool pelo condutor;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Não
TO;FORTALEZA DO TABOCAO;segunda-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Capotamento;Céu Claro;Simples;Reta;Sim
RN;MOSSORO;terça-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão transversal;Céu Claro;Simples;Reta;Sim
AL;JEQUIA DA PRAIA;terça-feira;Pleno dia;Velocidade Incompatível;Tombamento;Céu Claro;Dupla;"Declive;Curva";Não
SP;LORENA;terça-feira;Pleno dia;Condutor Dormindo;Colisão traseira;Céu Claro;Dupla;Reta;Sim
SC;APIUNA;terça-feira;Pleno dia;Ingestão de álcool pelo condutor;Colisão lateral sentido oposto;Céu Claro;Simples;Reta;Não
ES;CACHOEIRO DE ITAPEMIRIM;terça-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Simples;Reta;Sim
BA;RAFAEL JAMBEIRO;terça-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão traseira;Céu Claro;Dupla;Reta;Não
MG;UBERABA;terça-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Nublado;Dupla;Reta;Não
MG;JOAO MONLEVADE;terça-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Garoa/Chuvisco;Simples;"Curva;Declive";Não
RS;PELOTAS;terça-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Sol;Dupla;Reta;Não
PA;ALTAMIRA;terça-feira;Pleno dia;Objeto estático sobre o leito carroçável;Colisão com objeto;Sol;Simples;Reta;Não
