uf;municipio;dia_semana;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo
MG;CARATINGA;segunda-feira;Pleno dia;Ausência de reação do condutor;Queda de ocupante de veículo;Nublado;Simples;Reta;Sim
PI;OEIRAS;segunda-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Dupla;"Reta;Retorno Regulamentado";Sim
BA;PORTO SEGURO;domingo;Plena Noite;Ultrapassagem Indevida;Colisão frontal;Nublado;Simples;Reta;Sim
MA;BALSAS;segunda-feira;Anoitecer;Ausência de reação do condutor;Colisão traseira;Céu Claro;Simples;"Interseção de Vias;Reta;Declive";Não
RS;SANTA MARIA;segunda-feira;Plena Noite;Transitar na contramão;Colisão frontal;Chuva;Simples;Retorno Regulamentado;Sim
RN;SAO GONCALO DO AMARANTE;segunda-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão traseira;Céu Claro;Dupla;Reta;Sim
SC;GUARUJA DO SUL;segunda-feira;Plena Noite;Ultrapassagem Indevida;Colisão frontal;Chuva;Simples;"Reta;Aclive";Não
RJ;AREAL;domingo;Plena Noite;Animais na Pista;Queda de ocupante de veículo;Céu Claro;Dupla;Curva;Não
PR;TUNAS DO PARANA;segunda-feira;Plena Noite;Ausência de reação do condutor;Colisão frontal;Céu Claro;Simples;Curva;Não
RO;JI-PARANA;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Eventos atípicos;Céu Claro;Dupla;"Ponte;Reta";Sim
PR;PARANAGUA;segunda-feira;Plena Noite;Ausência de reação do condutor;Colisão transversal;Céu Claro;Dupla;"Rotatória;Interseção de Vias";Não
MG;GOVERNADOR VALADARES;segunda-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim
RR;BOA VISTA;segunda-feira;Plena Noite;Entrada inopinada do pedestre;Atropelamento de Pedestre;Céu Claro;Simples;Reta;Não
PB;ALCANTIL;segunda-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Nublado;Simples;Reta;Não
SP;SAO PAULO;segunda-feira;Plena Noite;Acumulo de óleo sobre o pavimento;Queda de ocupante de veículo;Céu Claro;Dupla;Curva;Não
PR;BARRACAO;segunda-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Chuva;Dupla;Reta;Sim
PI;CAMPO MAIOR;segunda-feira;Plena Noite;Pedestre andava na pista;Atropelamento de Pedestre;Céu Claro;Simples;Curva;Sim
BA;FEIRA DE SANTANA;segunda-feira;Plena Noite;Ingestão de álcool pelo condutor;Colisão com objeto;Nublado;Dupla;Reta;Sim
RJ;RIO DE JANEIRO;segunda-feira;Plena Noite;Demais falhas na via;Tombamento;Céu Claro;Dupla;Reta;Não
SP;UBATUBA;segunda-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Nublado;Simples;Reta;Sim
PR;SAO JOSE DOS PINHAIS;terça-feira;Plena Noite;Avarias e/ou desgaste excessivo no pneu;Queda de ocupante de veículo;Nublado;Dupla;Reta;Não
BA;SIMOES FILHO;segunda-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;Reta;Sim
GO;ANAPOLIS;terça-feira;Plena Noite;Ingestão de álcool pelo condutor;Capotamento;Ignorado;Dupla;Reta;Sim
MG;ITAPEVA;terça-feira;Plena Noite;Demais Fenômenos da natureza;Colisão com objeto;Céu Claro;Múltipla;Curva;Não
RJ;SAO GONCALO;segunda-feira;Amanhecer;Condutor deixou de manter distância do veículo da frente;Queda de ocupante de veículo;Céu Claro;Dupla;Reta;Sim
SC;BARRA VELHA;terça-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão com objeto;Garoa/Chuvisco;Múltipla;Reta;Sim
DF;BRASILIA;terça-feira;Plena Noite;Condutor Dormindo;Colisão com objeto;Céu Claro;Dupla;Reta;Sim
MS;MIRANDA;terça-feira;Pleno dia;Transitar na contramão;Colisão frontal;Céu Claro;Simples;Reta;Sim
BA;BARREIRAS;segunda-feira;Pleno dia;Ausência de reação do condutor;Capotamento;Céu Claro;Simples;Reta;Não
MG;CONTAGEM;terça-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim
PA;MEDICILANDIA;segunda-feira;Anoitecer;Pista Escorregadia;Saída de leito carroçável;Ignorado;Simples;"Reta;Declive";Não
SC;JOINVILLE;terça-feira;Pleno dia;Desrespeitar a preferência no cruzamento;Queda de ocupante de veículo;Chuva;Dupla;Viaduto;Não
PI;TERESINA;terça-feira;Pleno dia;Ausência de reação do condutor;Atropelamento de Pedestre;Sol;Simples;Reta;Sim
SC;SAO JOSE;terça-feira;Pleno dia;Manobra de mudança de faixa;Colisão traseira;Nublado;Múltipla;Reta;Sim
SP;SAO JOSE DOS CAMPOS;terça-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Sol;Dupla;Reta;Sim
PE;PETROLINA;terça-feira;Pleno dia;Desrespeitar a preferência no cruzamento;Colisão transversal;Céu Claro;Dupla;Interseção de Vias;Sim
SP;GUARULHOS;terça-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Múltipla;Reta;Sim
SC;PALHOCA;terça-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Nublado;Múltipla;Reta;Sim
PR;CAMPINA GRANDE DO SUL;terça-feira;Pleno dia;Chuva;Colisão com objeto;Chuva;Dupla;"Declive;Curva";Não
RJ;NOVA IGUACU;terça-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim
PR;CURITIBA;terça-feira;Amanhecer;Velocidade Incompatível;Colisão com objeto;Chuva;Dupla;"Declive;Reta";Não
SP;SAO JOSE DOS CAMPOS;terça-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Sol;Dupla;"Declive;Reta";Sim
CE;ITAITINGA;terça-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Nublado;Dupla;"Reta;Declive";Não
SC;ITAJAI;terça-feira;Pleno dia;Ausência de reação do condutor;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Não
MG;NOVA LIMA;terça-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;"Reta;Aclive";Não
PR;SANTO ANTONIO DA PLATINA;terça-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Garoa/Chuvisco;Simples;Curva;Não
RN;NATAL;terça-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Nublado;Simples;Reta;Sim
SC;PALHOCA;terça-feira;Pleno dia;Velocidade Incompatível;Saída de leito carroçável;Céu Claro;Múltipla;Reta;Não
RN;MOSSORO;terça-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Reta;Sim
PR;CURITIBA;terça-feira;Amanhecer;Condutor deixou de manter distância do veículo da frente;Engavetamento;Nublado;Dupla;Reta;Não
PR;PONTA GROSSA;terça-feira;Amanhecer;Ausência de reação do condutor;Colisão com objeto;Chuva;Dupla;"Aclive;Reta";Sim
RO;CANDEIAS DO JAMARI;terça-feira;Amanhecer;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Simples;Curva;Não
MA;BACABEIRA;terça-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Sol;Dupla;Reta;Não
MG;NOVA LIMA;sexta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Não
RJ;DUQUE DE CAXIAS;terça-feira;Pleno dia;Avarias e/ou desgaste excessivo no pneu;Queda de ocupante de veículo;Céu Claro;Múltipla;Reta;Sim
PR;CAMPINA GRANDE DO SUL;domingo;Plena Noite;Velocidade Incompatível;Saída de leito carroçável;Nublado;Dupla;Curva;Não
SC;GUARAMIRIM;quinta-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;"Desvio Temporário;Em Obras";Não
MG;UBERABA;terça-feira;Pleno dia;Velocidade Incompatível;Saída de leito carroçável;Céu Claro;Dupla;Reta;Não
SC;SAO CRISTOVAO DO SUL;terça-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Chuva;Simples;"Reta;Interseção de Vias";Sim
BA;CAMACAN;terça-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Interseção de Vias;Não
RN;PARNAMIRIM;terça-feira;Pleno dia;Manobra de mudança de faixa;Colisão traseira;Sol;Múltipla;"Retorno Regulamentado;Viaduto";Sim
RJ;PETROPOLIS;terça-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Dupla;Interseção de Vias;Não
RJ;CAMPOS DOS GOYTACAZES;terça-feira;Pleno dia;Acesso irregular;Colisão transversal;Céu Claro;Simples;Reta;Sim
RS;PORTO ALEGRE;terça-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim
RJ;SAO JOAO DE MERITI;terça-feira;Pleno dia;Manobra de mudança de faixa;Atropelamento de Pedestre;Céu Claro;Dupla;Reta;Sim
RJ;GUAPIMIRIM;terça-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão traseira;Céu Claro;Dupla;Reta;Sim
MS;PARAISO DAS AGUAS;sexta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Simples;Reta;Não
RO;PRESIDENTE MEDICI;terça-feira;Pleno dia;Animais na Pista;Atropelamento de Animal;Ignorado;Simples;Reta;Não
RJ;RIO DE JANEIRO;terça-feira;Pleno dia;Avarias e/ou desgaste excessivo no pneu;Queda de ocupante de veículo;Vento;Dupla;Viaduto;Não
TO;ARAGUAINA;sexta-feira;Plena Noite;Ausência de reação do condutor;Atropelamento de Animal;Céu Claro;Simples;Reta;Não
DF;BRASILIA;terça-feira;Pleno dia;Ausência de reação do condutor;Capotamento;Céu Claro;Dupla;"Declive;Curva";Sim
RJ;GUAPIMIRIM;terça-feira;Pleno dia;Ausência de reação do condutor;Tombamento;Céu Claro;Simples;"Aclive;Reta";Sim
RJ;SAPUCAIA;terça-feira;Pleno dia;Avarias e/ou desgaste excessivo no pneu;Queda de ocupante de veículo;Céu Claro;Dupla;Curva;Não
MT;NOVA XAVANTINA;terça-feira;Pleno dia;Ausência de reação do condutor;Colisão lateral mesmo sentido;Sol;Simples;"Reta;Aclive";Não
GO;AGUAS LINDAS DE GOIAS;terça-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Engavetamento;Céu Claro;Dupla;Reta;Sim
PR;COLOMBO;terça-feira;Pleno dia;Desrespeitar a preferência no cruzamento;Colisão transversal;Sol;Simples;Reta;Sim
PE;RECIFE;terça-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;Viaduto;Não
RN;GOIANINHA;terça-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Aclive;Não
MG;SETE LAGOAS;terça-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Dupla;Reta;Sim
SP;SANTA ISABEL;terça-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Sol;Dupla;"Declive;Curva";Não
RJ;CAMPOS DOS GOYTACAZES;terça-feira;Pleno dia;Transitar no Acostamento;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Sim
SC;FLORIANOPOLIS;terça-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Múltipla;Aclive;Sim
RS;JULIO DE CASTILHOS;terça-feira;Pleno dia;Avarias e/ou desgaste excessivo no pneu;Tombamento;Céu Claro;Simples;"Reta;Aclive";Não
PR;CASCAVEL;terça-feira;Pleno dia;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Chuva;Simples;Reta;Sim
CE;CAUCAIA;terça-feira;Pleno dia;Transitar na contramão;Colisão lateral sentido oposto;Céu Claro;Simples;Reta;Não
MG;POUSO ALEGRE;sábado;Pleno dia;Ingestão de álcool pelo condutor;Colisão lateral sentido oposto;Sol;Simples;Reta;Sim
PB;CABEDELO;terça-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Dupla;"Reta;Em Obras";Sim
SC;PORTO BELO;terça-feira;Pleno dia;Velocidade Incompatível;Colisão traseira;Céu Claro;Múltipla;Reta;Não
RJ;SAO JOAO DA BARRA;terça-feira;Pleno dia;Transitar no Acostamento;Atropelamento de Pedestre;Céu Claro;Simples;Curva;Não
PI;TERESINA;terça-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;Reta;Sim
BA;RIACHAO DO JACUIPE;terça-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Saída de leito carroçável;Céu Claro;Simples;Reta;Não
ES;COLATINA;terça-feira;Pleno dia;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Céu Claro;Simples;"Reta;Aclive";Não
MS;MUNDO NOVO;quarta-feira;Amanhecer;Pista esburacada;Colisão com objeto;Céu Claro;Simples;"Reta;Em Obras;Desvio Temporário;Declive";Não
ES;VIANA;terça-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;Curva;Sim
PR;MARINGA;terça-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;Reta;Sim
MG;UBERLANDIA;terça-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Declive;Sim
BA;PORTO SEGURO;terça-feira;Pleno dia;Frear bruscamente;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Sim
GO;MARA ROSA;terça-feira;Anoitecer;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Simples;"Reta;Declive";Não
RJ;RIO DE JANEIRO;terça-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Dupla;Reta;Sim
PR;CURITIBA;terça-feira;Anoitecer;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Céu Claro;Dupla;"Reta;Viaduto";Sim
MG;OURO PRETO;terça-feira;Pleno dia;Velocidade Incompatível;Colisão lateral sentido oposto;Sol;Simples;Reta;Não
SC;PALHOCA;terça-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Ignorado;Múltipla;Reta;Sim
RS;SANTIAGO;terça-feira;Pleno dia;Ingestão de álcool pelo condutor;Colisão traseira;Céu Claro;Simples;Aclive;Não
RS;ELDORADO DO SUL;terça-feira;Anoitecer;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Dupla;Reta;Não
PE;CABROBO;terça-feira;Plena Noite;Transitar na contramão;Colisão frontal;Céu Claro;Simples;"Declive;Reta";Sim
ES;VIANA;terça-feira;Plena Noite;Entrada inopinada do pedestre;Atropelamento de Pedestre;Céu Claro;Múltipla;Reta;Sim
MG;CONTAGEM;terça-feira;Plena Noite;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim
SP;TAUBATE;sexta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;Reta;Sim
ES;LINHARES;terça-feira;Plena Noite;Condutor usando celular;Tombamento;Céu Claro;Dupla;Reta;Não
GO;VILA PROPICIO;terça-feira;Pleno dia;Condutor Dormindo;Saída de leito carroçável;Céu Claro;Simples;Curva;Não
RJ;MANGARATIBA;terça-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão com objeto;Nublado;Simples;Reta;Sim
SC;ITAJAI;terça-feira;Anoitecer;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Não
GO;ANAPOLIS;terça-feira;Plena Noite;Suicídio (presumido);Atropelamento de Pedestre;Céu Claro;Simples;Aclive;Sim
PB;CAJAZEIRAS;terça-feira;Pleno dia;Ausência de reação do condutor;Colisão com objeto;Céu Claro;Simples;Curva;Sim
BA;ITAMARAJU;terça-feira;Anoitecer;Transitar na contramão;Colisão lateral sentido oposto;Céu Claro;Simples;Reta;Não
RJ;ITAGUAI;terça-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão traseira;Céu Claro;Simples;Reta;Não
SC;CAMBORIU;terça-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Sim
MG;GOVERNADOR VALADARES;terça-feira;Anoitecer;Animais na Pista;Tombamento;Céu Claro;Dupla;"Reta;Interseção de Vias";Sim
RJ;DUQUE DE CAXIAS;terça-feira;Pleno dia;Trafegar com motocicleta (ou similar) entre as faixas;Colisão traseira;Céu Claro;Múltipla;Reta;Não
RJ;TRES RIOS;terça-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Reta;Sim
SC;PALHOCA;terça-feira;Plena Noite;Redutor de velocidade em desacordo;Colisão frontal;Céu Claro;Dupla;Viaduto;Sim
PE;RECIFE;terça-feira;Plena Noite;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Não
RJ;DUQUE DE CAXIAS;terça-feira;Plena Noite;Ausência de reação do condutor;Tombamento;Céu Claro;Dupla;"Reta;Aclive";Não
MG;IGARAPE;terça-feira;Plena Noite;Pedestre andava na pista;Atropelamento de Pedestre;Céu Claro;Múltipla;"Curva;Declive";Não
RO;JI-PARANA;terça-feira;Plena Noite;Animais na Pista;Atropelamento de Animal;Céu Claro;Simples;"Reta;Aclive";Sim
MG;EXTREMA;terça-feira;Plena Noite;Curva acentuada;Saída de leito carroçável;Céu Claro;Dupla;Curva;Não
RJ;MANGARATIBA;terça-feira;Plena Noite;Velocidade Incompatível;Queda de ocupante de veículo;Nublado;Simples;"Declive;Curva";Não
AC;CRUZEIRO DO SUL;sexta-feira;Anoitecer;Retorno proibido;Colisão transversal;Nublado;Simples;Reta;Sim
SP;ROSEIRA;terça-feira;Plena Noite;Demais falhas mecânicas ou elétricas;Tombamento;Nublado;Dupla;Reta;Sim
MS;MUNDO NOVO;terça-feira;Plena Noite;Pedestre andava na pista;Eventos atípicos;Céu Claro;Simples;Reta;Sim
RS;BARRA DO RIBEIRO;terça-feira;Plena Noite;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Dupla;Reta;Não
GO;CAMPINORTE;terça-feira;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Simples;Retorno Regulamentado;Sim
PE;CABROBO;quarta-feira;Plena Noite;Ausência de reação do condutor;Queda de ocupante de veículo;Céu Claro;Simples;Reta;Não
MT;CUIABA;terça-feira;Plena Noite;Animais na Pista;Atropelamento de Animal;Céu Claro;Simples;Reta;Sim
SP;GUARULHOS;terça-feira;Plena Noite;Manobra de mudança de faixa;Tombamento;Céu Claro;Múltipla;"Interseção de Vias;Reta";Sim
RJ;MANGARATIBA;quarta-feira;Plena Noite;Ausência de reação do condutor;Queda de ocupante de veículo;Nublado;Simples;"Reta;Aclive";Não
BA;AMELIA RODRIGUES;quarta-feira;Plena Noite;Animais na Pista;Atropelamento de Animal;Ignorado;Múltipla;Reta;Não
RJ;VASSOURAS;quarta-feira;Amanhecer;Animais na Pista;Atropelamento de Animal;Céu Claro;Simples;Reta;Não
PR;QUATRO BARRAS;quarta-feira;Pleno dia;Velocidade Incompatível;Saída de leito carroçável;Garoa/Chuvisco;Dupla;Curva;Não
MG;MURIAE;quarta-feira;Pleno dia;Animais na Pista;Atropelamento de Animal;Céu Claro;Simples;Reta;Não
RS;CANOAS;quarta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Múltipla;Reta;Sim
SC;NAVEGANTES;quarta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Múltipla;"Interseção de Vias;Viaduto";Sim
SP;SAO JOSE DOS CAMPOS;quarta-feira;Pleno dia;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim
PE;RECIFE;quarta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Não
PE;JABOATAO DOS GUARARAPES;quarta-feira;Pleno dia;Trafegar com motocicleta (ou similar) entre as faixas;Colisão traseira;Céu Claro;Dupla;Reta;Não
PR;FOZ DO IGUACU;quarta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Simples;Rotatória;Sim
PR;FOZ DO IGUACU;quarta-feira;Amanhecer;Falta de acostamento;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Sim
MG;PRATA;quarta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Sol;Simples;Reta;Sim
RJ;SAO JOAO DE MERITI;quarta-feira;Pleno dia;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Não
SP;SAO JOSE DO RIO PRETO;quarta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim
MG;BELO HORIZONTE;quarta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Sol;Dupla;Reta;Sim
PR;LONDRINA;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim
SC;XAXIM;quarta-feira;Plena Noite;Ingestão de álcool pelo condutor;Saída de leito carroçável;Nevoeiro/Neblina;Simples;Reta;Não
SC;SAO JOSE;quarta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim
SP;UBATUBA;quarta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Reta;Sim
RJ;DUQUE DE CAXIAS;quarta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Múltipla;Reta;Não
PB;JOAO PESSOA;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão transversal;Sol;Simples;Reta;Sim
PR;COLOMBO;quarta-feira;Pleno dia;Manobra de mudança de faixa;Tombamento;Sol;Dupla;Reta;Sim
SP;LAVRINHAS;quarta-feira;Pleno dia;Condutor Dormindo;Tombamento;Nublado;Dupla;"Reta;Declive";Não
PR;LAPA;domingo;Amanhecer;Reação tardia ou ineficiente do condutor;Colisão com objeto;Céu Claro;Dupla;"Reta;Aclive";Sim
SC;ITAPEMA;quarta-feira;Pleno dia;Manobra de mudança de faixa;Colisão traseira;Sol;Dupla;Reta;Não
SC;ITAPEMA;terça-feira;Pleno dia;Ingestão de álcool pelo condutor;Colisão traseira;Céu Claro;Simples;Reta;Sim
BA;FEIRA DE SANTANA;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim
AL;SANTANA DO IPANEMA;quarta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;"Aclive;Rotatória";Sim
PE;RECIFE;quarta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Colisão traseira;Céu Claro;Dupla;Reta;Sim
MG;MURIAE;quarta-feira;Pleno dia;Desrespeitar a preferência no cruzamento;Colisão transversal;Sol;Simples;Interseção de Vias;Sim
SC;PORTO UNIAO;segunda-feira;Anoitecer;Acesso irregular;Colisão transversal;Céu Claro;Simples;"Curva;Declive";Sim
RJ;SAO GONCALO;quarta-feira;Pleno dia;Ausência de reação do condutor;Engavetamento;Céu Claro;Dupla;Reta;Sim
CE;FORTALEZA;quarta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Céu Claro;Múltipla;Reta;Sim
RS;SANTA MARIA;quarta-feira;Pleno dia;Desrespeitar a preferência no cruzamento;Colisão transversal;Céu Claro;Dupla;"Interseção de Vias;Rotatória;Viaduto";Não
RN;PARNAMIRIM;quarta-feira;Pleno dia;Ausência de reação do condutor;Capotamento;Céu Claro;Dupla;"Reta;Declive";Não
SC;CHAPECO;quarta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Múltipla;"Reta;Em Obras";Não
SC;LONTRAS;quarta-feira;Pleno dia;Velocidade Incompatível;Colisão frontal;Sol;Simples;Curva;Não
ES;SAO MATEUS;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Sol;Simples;Reta;Não
BA;INHAMBUPE;quarta-feira;Pleno dia;Retorno proibido;Colisão transversal;Sol;Simples;Reta;Não
ES;VIANA;quarta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Simples;Reta;Sim
MS;PONTA PORA;terça-feira;Amanhecer;Animais na Pista;Atropelamento de Animal;Céu Claro;Simples;Reta;Não
ES;LINHARES;quarta-feira;Pleno dia;Ausência de reação do condutor;Tombamento;Céu Claro;Simples;Reta;Não
MT;GENERAL CARNEIRO;quarta-feira;Pleno dia;Condutor Dormindo;Colisão frontal;Sol;Simples;Reta;Não
RS;FAZENDA VILANOVA;quarta-feira;Pleno dia;Mal súbito do condutor;Saída de leito carroçável;Céu Claro;Dupla;"Reta;Retorno Regulamentado";Não
RJ;ITATIAIA;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Capotamento;Céu Claro;Dupla;"Curva;Declive";Não
RJ;SAO GONCALO;quarta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;Reta;Sim
PI;FLORIANO;quarta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Sol;Dupla;"Retorno Regulamentado;Reta";Sim
RO;JI-PARANA;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Céu Claro;Dupla;Retorno Regulamentado;Sim
RJ;ITABORAI;sábado;Plena Noite;Chuva;Queda de ocupante de veículo;Chuva;Simples;Reta;Sim
MG;SAO GONCALO DO SAPUCAI;quarta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Sol;Simples;Reta;Não
ES;LINHARES;quarta-feira;Pleno dia;Entrada inopinada do pedestre;Atropelamento de Pedestre;Céu Claro;Dupla;Reta;Sim
PR;FOZ DO IGUACU;quarta-feira;Pleno dia;Mal súbito do condutor;Queda de ocupante de veículo;Céu Claro;Dupla;"Aclive;Viaduto";Sim
MG;GOVERNADOR VALADARES;sábado;Plena Noite;Ausência de reação do condutor;Colisão traseira;Céu Claro;Múltipla;Reta;Sim
SC;BLUMENAU;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Curva;Sim
PA;TRAIRAO;quarta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão traseira;Sol;Simples;Declive;Não
ES;SERRA;quarta-feira;Pleno dia;Avarias e/ou desgaste excessivo no pneu;Tombamento;Sol;Múltipla;Reta;Sim
RJ;NOVA IGUACU;quarta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Simples;Reta;Não
SC;LAGES;quarta-feira;Pleno dia;Conversão proibida;Colisão lateral mesmo sentido;Céu Claro;Simples;"Reta;Aclive";Sim
